cost,mass,drag,design
55.9,50.0,0.445,D0000
51.0,28.9,0.669,D0001
61.3,27.8,0.681,D0002
104.1,42.1,0.487,D0003
110.4,36.5,0.454,D0004
102.0,60.2,0.351,D0005
108.4,52.9,0.499,D0006
63.1,53.2,0.398,D0007
75.8,55.5,0.331,D0008
94.9,72.0,0.186,D0009
97.3,36.6,0.442,D0010
117.5,45.8,0.386,D0011
114.0,32.1,0.64,D0012
85.3,22.0,0.575,D0013
80.0,48.1,0.52,D0014
109.9,40.4,0.4,D0015
40.1,79.8,0.193,D0016
120.9,23.3,0.532,D0017
108.5,55.3,0.347,D0018
92.8,25.4,0.544,D0019
22.1,70.3,0.266,D0020
46.1,64.4,0.256,D0021
40.9,55.9,0.46,D0022
24.2,68.3,0.226,D0023
69.8,21.1,0.6,D0024
105.5,49.6,0.499,D0025
74.0,38.9,0.46,D0026
101.3,76.5,0.194,D0027
93.5,38.9,0.558,D0028
57.3,24.0,0.601,D0029
55.7,70.7,0.318,D0030
87.4,59.7,0.391,D0031
91.3,75.7,0.162,D0032
113.4,28.6,0.574,D0033
92.9,73.7,0.299,D0034
44.4,41.6,0.421,D0035
134.2,28.6,0.534,D0036
97.3,23.7,0.696,D0037
113.4,29.6,0.578,D0038
43.6,56.7,0.321,D0039
55.0,26.9,0.609,D0040
106.8,39.5,0.532,D0041
94.1,27.8,0.555,D0042
66.4,74.8,0.162,D0043
46.9,53.7,0.49,D0044
107.2,62.0,0.248,D0045
102.5,61.0,0.271,D0046
106.2,23.0,0.688,D0047
92.6,68.3,0.34,D0048
60.1,67.4,0.244,D0049
61.5,43.4,0.474,D0050
69.2,56.3,0.398,D0051
64.1,57.4,0.341,D0052
114.1,37.4,0.579,D0053
82.3,53.2,0.436,D0054
101.7,35.5,0.63,D0055
58.0,39.5,0.514,D0056
50.7,29.3,0.64,D0057
103.1,58.2,0.444,D0058
115.0,37.9,0.545,D0059
68.3,65.0,0.289,D0060
44.1,72.6,0.294,D0061
103.9,53.6,0.455,D0062
84.3,53.9,0.308,D0063
81.9,68.9,0.324,D0064
109.8,49.8,0.503,D0065
37.9,72.5,0.231,D0066
45.4,57.2,0.362,D0067
71.4,71.1,0.194,D0068
102.0,44.8,0.47,D0069
105.3,28.0,0.592,D0070
126.0,30.3,0.475,D0071
47.6,47.6,0.538,D0072
21.4,79.5,0.211,D0073
57.9,45.1,0.403,D0074
