site,country,enrolled,screen_fail_pct,deviations,open_queries,query_age_days,dropout_pct,days_since_visit
S0000,US,18,5.9,2,7,14.0,15.3,14.0
S0001,US,13,17.3,3,7,47.0,11.4,113.0
S0002,PL,24,19.3,2,0,10.0,6.8,98.0
S0003,BR,18,26.8,0,6,4.0,7.7,5.0
S0004,US,16,20.1,1,5,1.0,8.5,103.0
S0005,JP,18,22.6,4,25,42.0,3.0,327.0
S0006,JP,12,18.1,2,13,3.0,6.7,78.0
S0007,US,15,18.2,1,7,3.0,6.8,25.0
S0008,IN,19,23.7,1,7,2.0,4.7,84.0
S0009,US,18,27.2,3,9,11.0,3.7,71.0
S0010,DE,16,12.8,1,3,23.0,7.7,79.0
S0011,JP,12,6.6,2,8,6.0,0.0,48.0
S0012,JP,19,26.5,0,12,2.0,3.8,106.0
S0013,BR,16,21.5,2,10,16.0,5.6,76.0
S0014,IN,19,33.9,1,5,12.0,1.1,102.0
S0015,AU,24,29.5,1,5,15.0,2.8,79.0
S0016,US,22,27.2,4,5,5.0,9.4,39.0
S0017,IN,14,20.9,1,7,8.0,5.2,60.0
S0018,IN,21,31.0,0,4,1.0,14.6,80.0
S0019,US,21,25.6,0,8,9.0,6.3,26.0
S0020,US,19,17.8,1,9,3.0,12.4,97.0
S0021,AU,24,3.9,3,2,9.0,7.0,61.0
S0022,US,24,9.0,5,5,3.0,9.3,134.0
S0023,DE,18,25.7,0,6,3.0,11.5,109.0
S0024,CA,24,44.0,2,4,1.0,7.4,50.0
S0025,BR,17,31.6,1,7,3.0,0.0,70.0
S0026,JP,19,20.5,4,5,2.0,6.5,5.0
S0027,PL,11,23.1,1,7,9.0,10.1,64.0
S0028,US,14,25.1,5,5,19.0,0.0,86.0
S0029,IN,16,15.8,2,2,28.0,11.9,35.0
S0030,DE,15,25.7,1,1,8.0,13.1,63.0
S0031,US,16,15.6,4,3,4.0,10.9,70.0
S0032,IN,18,18.6,2,8,2.0,11.5,86.0
S0033,AU,20,31.6,4,3,4.0,9.0,61.0
S0034,US,12,36.8,0,4,9.0,13.3,57.0
S0035,IN,20,26.4,2,9,7.0,1.7,50.0
S0036,US,25,13.1,1,6,6.0,3.5,117.0
S0037,PL,20,24.1,2,6,2.0,5.1,76.0
S0038,IN,25,11.8,2,1,4.0,4.5,131.0
S0039,US,21,36.7,1,6,1.0,0.2,112.0
S0040,CA,10,11.2,2,4,11.0,0.2,86.0
S0041,IN,20,18.0,2,2,10.0,9.5,22.0
S0042,IN,20,7.1,0,13,39.0,8.8,23.0
S0043,CA,18,26.8,0,6,15.0,13.4,94.0
S0044,JP,15,17.5,1,8,7.0,9.5,69.0
S0045,PL,20,11.0,1,8,10.0,4.7,44.0
S0046,CA,18,11.6,1,4,0.0,8.6,89.0
S0047,US,25,10.3,0,6,28.0,1.8,112.0
S0048,CA,20,11.8,0,3,17.0,9.6,68.0
S0049,DE,27,19.6,2,9,23.0,1.0,113.0
S0050,JP,21,8.3,2,4,7.0,10.1,114.0
S0051,US,16,11.5,2,4,1.0,1.3,55.0
S0052,IN,25,20.8,0,7,2.0,9.7,52.0
S0053,US,22,29.3,5,7,3.0,4.4,40.0
S0054,CA,17,22.2,3,6,11.0,2.5,51.0
S0055,US,14,40.9,2,6,0.0,14.4,80.0
S0056,BR,31,31.3,5,7,28.0,17.5,65.0
S0057,DE,15,28.8,1,5,15.0,10.3,98.0
S0058,BR,20,43.8,0,4,7.0,0.0,9.0
S0059,US,22,17.6,2,7,8.0,1.8,23.0
S0060,US,21,36.0,2,6,16.0,13.2,58.0
S0061,PL,13,14.7,1,7,2.0,3.2,69.0
S0062,PL,17,13.1,1,4,1.0,6.1,61.0
S0063,BR,11,28.3,2,5,14.0,11.0,92.0
S0064,AU,26,15.2,1,8,19.0,4.8,151.0
S0065,US,21,12.4,0,7,13.0,3.7,35.0
S0066,CA,24,23.9,0,13,3.0,15.8,96.0
S0067,US,21,14.4,1,3,12.0,2.5,87.0
S0068,AU,18,32.9,0,8,3.0,7.5,72.0
S0069,IN,18,43.5,1,4,21.0,10.2,53.0
S0070,BR,14,36.5,5,1,12.0,7.5,52.0
S0071,AU,16,24.2,1,5,12.0,0.0,60.0
S0072,PL,22,17.0,2,2,12.0,5.3,101.0
S0073,PL,18,17.6,1,6,20.0,16.3,40.0
S0074,US,11,26.3,2,6,31.0,4.7,94.0
S0075,DE,17,3.9,2,7,7.0,11.5,78.0
S0076,US,15,31.7,0,2,17.0,6.7,38.0
S0077,US,22,4.5,0,9,32.0,8.9,44.0
S0078,US,14,15.6,2,13,7.0,9.3,55.0
S0079,CA,19,17.9,3,7,20.0,11.8,92.0
S0080,US,19,24.8,3,3,27.0,12.9,54.0
S0081,US,16,25.2,3,8,4.0,8.7,57.0
S0082,JP,21,30.7,3,5,3.0,4.6,71.0
S0083,CA,22,17.9,2,6,0.0,13.7,62.0
S0084,AU,17,34.5,1,4,16.0,6.4,136.0
S0085,IN,15,11.5,0,2,1.0,5.1,79.0
S0086,US,20,27.2,2,10,21.0,4.1,91.0
S0087,BR,13,11.8,1,7,24.0,5.6,65.0
S0088,IN,10,33.7,2,10,11.0,14.9,102.0
S0089,US,19,16.0,0,3,34.0,2.3,22.0
S0090,IN,19,20.6,2,8,8.0,7.8,68.0
S0091,DE,21,32.2,3,7,66.0,0.0,85.0
S0092,BR,19,22.3,2,8,8.0,0.0,124.0
S0093,IN,15,22.4,4,7,12.0,13.7,104.0
S0094,IN,15,26.9,2,8,18.0,15.2,108.0
S0095,BR,27,6.2,0,6,8.0,14.3,76.0
S0096,BR,23,21.7,2,12,3.0,11.5,105.0
S0097,US,21,16.7,3,12,6.0,5.7,72.0
S0098,JP,12,15.5,2,3,1.0,5.3,108.0
S0099,US,16,20.9,0,9,11.0,0.9,90.0
S0100,JP,12,12.0,0,9,1.0,16.6,87.0
S0101,BR,20,20.0,2,3,4.0,19.4,69.0
S0102,PL,15,31.5,0,2,5.0,1.2,116.0
S0103,DE,14,24.1,0,8,3.0,0.0,87.0
S0104,US,21,32.8,2,6,6.0,11.0,102.0
S0105,BR,16,25.1,0,8,35.0,5.7,130.0
S0106,US,16,16.6,2,7,2.0,9.9,28.0
S0107,PL,16,16.3,2,7,0.0,1.1,98.0
S0108,DE,24,11.6,1,7,3.0,7.4,48.0
S0109,DE,18,15.6,2,8,10.0,0.0,5.0
S0110,CA,17,31.0,2,9,2.0,10.2,36.0
S0111,DE,23,20.6,0,9,17.0,10.7,97.0
S0112,DE,16,27.1,0,10,20.0,0.0,80.0
S0113,DE,22,34.1,3,9,4.0,0.0,68.0
S0114,JP,20,9.9,0,3,7.0,0.0,111.0
S0115,US,16,17.4,1,7,3.0,11.8,73.0
S0116,BR,18,9.4,1,6,6.0,1.1,135.0
S0117,AU,20,29.8,0,4,6.0,1.3,109.0
S0118,BR,16,26.7,0,5,20.0,6.5,78.0
S0119,PL,18,27.5,3,4,1.0,1.4,118.0
S0120,AU,24,20.4,5,9,1.0,14.0,102.0
S0121,CA,16,21.9,1,6,14.0,5.8,5.0
S0122,PL,15,21.8,2,7,12.0,5.0,24.0
S0123,PL,15,33.9,1,1,13.0,13.5,21.0
S0124,CA,14,1.6,1,6,7.0,18.1,24.0
S0125,US,16,24.7,0,7,17.0,14.7,16.0
S0126,JP,24,32.6,1,4,0.0,13.6,65.0
S0127,DE,19,14.0,1,7,13.0,2.1,127.0
S0128,US,19,22.2,1,7,1.0,16.2,109.0
S0129,BR,17,25.9,1,6,4.0,13.7,116.0
S0130,DE,27,25.9,1,2,3.0,11.1,69.0
S0131,BR,15,6.3,3,8,1.0,1.5,98.0
S0132,BR,20,22.1,1,7,2.0,9.4,95.0
S0133,US,14,26.2,2,6,2.0,9.4,66.0
S0134,JP,19,6.0,1,7,4.0,15.1,86.0
S0135,DE,14,21.1,0,8,3.0,10.2,56.0
S0136,IN,29,15.6,2,5,3.0,7.2,91.0
S0137,US,19,22.0,4,6,7.0,13.3,90.0
S0138,US,15,24.9,6,11,7.0,7.7,64.0
S0139,JP,19,8.9,2,8,3.0,2.3,69.0
S0140,DE,18,30.9,1,6,1.0,15.4,85.0
S0141,IN,23,16.7,1,4,1.0,9.4,83.0
S0142,DE,14,23.4,2,2,2.0,1.7,56.0
S0143,US,9,17.7,1,7,6.0,7.5,92.0
S0144,AU,16,31.7,2,9,0.0,8.6,59.0
S0145,US,20,36.6,3,5,5.0,13.9,82.0
S0146,US,22,20.4,0,5,20.0,0.0,5.0
S0147,US,13,16.4,1,5,4.0,6.4,27.0
S0148,DE,15,31.3,3,8,1.0,11.1,26.0
S0149,US,19,32.8,1,3,2.0,14.6,34.0
S0150,BR,20,27.1,4,50,390.0,7.9,282.0
S0151,AU,16,15.6,0,6,1.0,14.5,86.0
S0152,US,28,21.9,1,3,8.0,18.3,69.0
S0153,DE,13,18.1,0,8,6.0,12.1,68.0
S0154,IN,21,33.5,3,13,10.0,0.7,39.0
S0155,CA,11,25.8,0,4,9.0,8.4,108.0
