name,lat,lon,street,hours,chain,kolache,km_from_hotel,osm_id,note
Not Jus Donuts Cakes & More,29.74175,-95.35949,,Tu-Fr 10:00-18:00; Sa 10:00-16:00,False,False,1.17,3710907490,
BB Donuts,29.74421,-95.38797,Westheimer Road,,False,False,3.04,10566816709,"listed as permanently closed (yelp, 2026-02); osm is stale"
Christy's,29.75299,-95.39242,West Gray Street,Mo-Sa 04:00-14:00; Su 05:00-14:00,False,False,3.34,902286343,
Shipley Do-Nuts,29.72184,-95.35216,,,True,False,3.42,364404158,
Voodoo Doughnut,29.74475,-95.39387,Westheimer Road,,True,False,3.58,428095827,
Voodoo Doughnut,29.76935,-95.39835,Washington Avenue,24/7,True,False,4.35,13751666327,
Shipley Do-Nuts,29.79348,-95.3761,,,True,False,4.92,1032364496,
Shipley Do-Nuts,29.74896,-95.41033,South Shepherd Drive,,True,False,5.08,9100306877,
Kolache Factory,29.74238,-95.40995,Westheimer Road,,True,True,5.15,860414347,
Dunkin',29.74489,-95.41091,South Shepherd Drive,Mo-Fr 05:00-21:00; Sa-Su 06:00-21:00,True,False,5.19,832392326,
Shipley Donuts,29.71634,-95.31551,,,True,False,5.71,3708360311,
Kolache Factory,29.76093,-95.41727,,Mo-Sa 06:00-14:00; Su 07:00-14:00,True,True,5.82,2349174117,
Shipley Do-Nuts,29.7013,-95.3765,Ardmore Street,,True,False,5.94,1018156335,
Shipley Do-Nuts,29.77158,-95.4239,Washington Avenue,,True,False,6.73,10055105917,
Dunkin',29.80428,-95.39888,Yale Street,Mo-Su 06:00-19:00,True,False,7.02,318581240,
Shipley's Donuts,29.68519,-95.34029,,,True,False,7.64,2936773501,
Shipley Do-Nuts,29.81178,-95.39968,Yale Street,05:00-20:00,True,False,7.76,7262796485,
Shipley Do-Nuts,29.67979,-95.39404,Almeda Road,,True,False,8.78,1080553977,
Queen Donut Kolache,29.80132,-95.43199,West 18th Street,Mo-Tu 06:00-20:00; We 06:00-16:00; Th-Sa 06:00-20:00; Su 06:00-13:00,False,True,9.01,1027211622,
Dawn Donuts,29.6859,-95.42195,S Main Street,,False,False,9.63,13699189681,
Shipley Do-Nuts,29.83795,-95.34311,,,True,False,9.64,11690931194,
Dunkin',29.81409,-95.42988,Ella Boulevard,Mo-Tu 05:00-22:00; We 05:00-21:00; Th-Fr 05:00-22:00; Sa-Su 06:00-22:00,True,False,9.79,9213386591,
Shipley's Donuts,29.71558,-95.45171,,,True,False,9.94,2346517762,
Shipley Do-Nuts,29.81784,-95.42923,Ella Boulevard,,True,False,10.04,777585812,
Dunkin',29.68148,-95.42308,Main Street,Mo-We 05:00-21:00; Th 05:30-21:00; Fr 05:00-21:00; Sa-Su 06:00-21:00,True,False,10.08,12044710847,
Shipley Do-Nuts,29.84518,-95.3848,Airline Drive,05:00-20:00,True,False,10.66,316353518,
Shipley's Donuts,29.7311,-95.4744,Richmond Avenue,,True,False,11.5,473638455,
Kolache Factory,29.73743,-95.47621,,,True,True,11.55,7212933109,
Kolache Factory,29.74946,-95.4783,San Felipe Street,,True,True,11.64,7045577096,
Shipley Do-Nuts,29.70516,-95.47134,Bissonnet Street,,True,False,12.15,12994580994,
Dunkin',29.70601,-95.47459,Bellaire Boulevard,05:00-19:00,True,False,12.39,280290363,
Shipley Do-Nuts,29.78305,-95.48288,Katy Freeway,24/7,True,False,12.55,849487160,
Summit Donuts,29.79529,-95.48562,,,False,False,13.23,10642826031,
Shipley Do-Nuts,29.6672,-95.46264,South Post Oak Road,,True,False,13.85,384000567,
Kolache Factory,29.66694,-95.46267,South Post Oak Road,,True,True,13.87,384000566,
Shipley's Donut,29.80276,-95.49296,,,True,False,14.2,12617501750,
Classic Donuts,29.68715,-95.49203,Hillcroft Avenue,,False,False,14.84,1387402884,
Shipley Do-Nuts,29.69122,-95.49912,,,True,False,15.24,317241802,
Best Donuts,29.67684,-95.49254,,,False,False,15.48,2318456547,
Dunkin',29.83959,-95.48916,Bingle Road,Mo-Fr 05:00-22:00; Sa-Su 06:00-22:00,True,False,15.97,4368695847,
Shipley Do-Nuts,29.84164,-95.48847,Bingle Road,,True,False,16.06,825334853,
