region,year,month,extent_km2,frac
Baffin,1978,11,745624.331,0.422
Baffin,1978,12,926473.071,0.525
Baffin,1979,1,1090625.815,0.618
Baffin,1979,2,1157634.866,0.656
Baffin,1979,3,1299583.477,0.736
Baffin,1979,4,1137194.68,0.644
Baffin,1979,5,983083.453,0.557
Baffin,1979,6,820064.573,0.464
Baffin,1979,7,504284.512,0.286
Baffin,1979,8,165202.293,0.094
Baffin,1979,9,66901.96,0.038
Baffin,1979,10,187742.415,0.106
Baffin,1979,11,637056.954,0.361
Baffin,1979,12,926943.243,0.525
Baffin,1980,1,1104871.464,0.626
Baffin,1980,2,1215999.908,0.689
Baffin,1980,3,1284177.396,0.727
Baffin,1980,4,1221357.854,0.692
Baffin,1980,5,1027215.512,0.582
Baffin,1980,6,786642.935,0.446
Baffin,1980,7,515729.857,0.292
Baffin,1980,8,151312.871,0.086
Baffin,1980,9,46345.79,0.026
Baffin,1980,10,225418.557,0.128
Baffin,1980,11,590062.722,0.334
Baffin,1980,12,871816.642,0.494
Baffin,1981,1,1122447.922,0.636
Baffin,1981,2,1282707.945,0.726
Baffin,1981,3,1117472.461,0.633
Baffin,1981,4,1147369.831,0.65
Baffin,1981,5,1053485.477,0.597
Baffin,1981,6,771697.614,0.437
Baffin,1981,7,415502.457,0.235
Baffin,1981,8,109625.349,0.062
Baffin,1981,9,56034.229,0.032
Baffin,1981,10,137886.507,0.078
Baffin,1981,11,602163.22,0.341
Baffin,1981,12,885763.492,0.502
Baffin,1982,1,1080833.934,0.612
Baffin,1982,2,1403639.746,0.795
Baffin,1982,3,1487905.095,0.843
Baffin,1982,4,1345921.021,0.762
Baffin,1982,5,1208206.701,0.684
Baffin,1982,6,957789.207,0.542
Baffin,1982,7,517703.555,0.293
Baffin,1982,8,152082.08,0.086
Baffin,1982,9,87540.466,0.05
Baffin,1982,10,312541.391,0.177
Baffin,1982,11,745311.522,0.422
Baffin,1982,12,1160506.105,0.657
Baffin,1983,1,1569060.665,0.889
Baffin,1983,2,1655336.13,0.938
Baffin,1983,3,1720993.826,0.975
Baffin,1983,4,1631572.738,0.924
Baffin,1983,5,1312204.093,0.743
Baffin,1983,6,987350.863,0.559
Baffin,1983,7,677882.831,0.384
Baffin,1983,8,309552.543,0.175
Baffin,1983,9,149209.651,0.085
Baffin,1983,10,344933.504,0.195
Baffin,1983,11,791670.002,0.448
Baffin,1983,12,1122201.139,0.636
Baffin,1984,1,1603222.081,0.908
Baffin,1984,2,1755069.784,0.994
Baffin,1984,3,1658777.572,0.939
Baffin,1984,4,1537293.132,0.871
Baffin,1984,5,1347243.858,0.763
Baffin,1984,6,996202.58,0.564
Baffin,1984,7,563924.204,0.319
Baffin,1984,8,134489.401,0.076
Baffin,1984,9,55393.392,0.031
Baffin,1984,10,163411.389,0.093
Baffin,1984,11,563783.31,0.319
Baffin,1984,12,1110308.561,0.629
Baffin,1985,1,1390831.721,0.788
Baffin,1985,2,1423983.122,0.806
Baffin,1985,3,1564700.427,0.886
Baffin,1985,4,1364952.596,0.773
Baffin,1985,5,1171277.688,0.663
Baffin,1985,6,837841.722,0.475
Baffin,1985,7,306816.865,0.174
Baffin,1985,8,68561.857,0.039
Baffin,1985,9,45115.567,0.026
Baffin,1985,10,137115.77,0.078
Baffin,1985,11,545156.012,0.309
Baffin,1985,12,793270.105,0.449
Baffin,1986,1,1113676.131,0.631
Baffin,1986,2,1242596.725,0.704
Baffin,1986,3,1351280.259,0.765
Baffin,1986,4,1199855.43,0.68
Baffin,1986,5,973720.164,0.551
Baffin,1986,6,756117.379,0.428
Baffin,1986,7,529012.971,0.3
Baffin,1986,8,233901.159,0.132
Baffin,1986,9,59637.39,0.034
Baffin,1986,10,411209.376,0.233
Baffin,1986,11,783921.322,0.444
Baffin,1986,12,1091453.076,0.618
Baffin,1987,1,1274676.901,0.722
Baffin,1987,2,1360569.839,0.771
Baffin,1987,3,1324398.985,0.75
Baffin,1987,4,1351056.455,0.765
Baffin,1987,5,1134853.447,0.643
Baffin,1987,6,949169.148,0.538
Baffin,1987,7,568695.746,0.322
Baffin,1987,8,129895.363,0.074
Baffin,1987,9,44055.277,0.025
Baffin,1987,10,260647.999,0.148
Baffin,1987,11,625008.211,0.354
Baffin,1988,2,1366076.918,0.774
Baffin,1988,3,1312939.795,0.744
Baffin,1988,4,1175041.547,0.665
Baffin,1988,5,1076951.23,0.61
Baffin,1988,6,803407.949,0.455
Baffin,1988,7,414942.959,0.235
Baffin,1988,8,132837.456,0.075
Baffin,1988,9,29255.849,0.017
Baffin,1988,10,81893.244,0.046
Baffin,1988,11,533669.191,0.302
Baffin,1988,12,897364.191,0.508
Baffin,1989,1,1177539.498,0.667
