region,year,frac,co2_ppm,pred,resid
Baffin,1979,0.038,336.835,0.041,-0.003
Baffin,1980,0.026,338.7625,0.0405,-0.0145
Baffin,1981,0.032,340.12,0.0403,-0.0083
Baffin,1982,0.05,341.4783,0.04,0.01
Baffin,1983,0.085,343.1525,0.0396,0.0454
Baffin,1984,0.031,344.8667,0.0392,-0.0082
Baffin,1985,0.026,346.3517,0.0389,-0.0129
Baffin,1986,0.034,347.6075,0.0387,-0.0047
Baffin,1987,0.025,349.3117,0.0383,-0.0133
Baffin,1988,0.017,351.69,0.0378,-0.0208
Baffin,1989,0.041,353.205,0.0375,0.0035
Baffin,1990,0.031,354.4525,0.0372,-0.0062
Baffin,1991,0.029,355.7042,0.0369,-0.0079
Baffin,1992,0.051,356.545,0.0368,0.0142
Baffin,1993,0.046,357.215,0.0366,0.0094
Baffin,1994,0.033,358.9592,0.0362,-0.0032
Baffin,1995,0.042,360.9683,0.0358,0.0062
Baffin,1996,0.09,362.7433,0.0354,0.0546
Baffin,1997,0.043,363.8767,0.0352,0.0078
Baffin,1998,0.033,366.84,0.0346,-0.0016
Baffin,1999,0.038,368.54,0.0342,0.0038
Baffin,2000,0.035,369.7075,0.034,0.001
Baffin,2001,0.035,371.3192,0.0336,0.0014
Baffin,2002,0.028,373.4525,0.0332,-0.0052
Baffin,2003,0.025,375.9833,0.0326,-0.0076
Baffin,2004,0.027,377.6983,0.0323,-0.0053
Baffin,2005,0.022,379.9833,0.0318,-0.0098
Baffin,2006,0.024,382.0908,0.0313,-0.0073
Baffin,2007,0.023,384.025,0.0309,-0.0079
Baffin,2008,0.025,385.8325,0.0305,-0.0055
Baffin,2009,0.022,387.6425,0.0301,-0.0081
Baffin,2010,0.031,390.1017,0.0296,0.0014
Baffin,2011,0.019,391.8508,0.0292,-0.0102
Baffin,2012,0.019,394.0558,0.0288,-0.0098
Baffin,2013,0.034,396.7375,0.0282,0.0058
Baffin,2014,0.016,398.8125,0.0278,-0.0118
Baffin,2015,0.039,401.0125,0.0273,0.0117
Baffin,2016,0.02,404.4125,0.0266,-0.0066
Baffin,2017,0.035,406.7583,0.0261,0.0089
Baffin,2018,0.031,408.715,0.0256,0.0054
Baffin,2019,0.016,411.6492,0.025,-0.009
Baffin,2020,0.018,414.2133,0.0245,-0.0065
Baffin,2021,0.019,416.4142,0.024,-0.005
Baffin,2022,0.035,418.5283,0.0236,0.0114
Baffin,2023,0.033,421.08,0.023,0.01
Baffin,2024,0.024,424.6042,0.0223,0.0017
Baffin,2025,0.028,427.3492,0.0217,0.0063
Barents,1979,0.009,336.835,0.0492,-0.0402
Barents,1980,0.04,338.7625,0.048,-0.008
Barents,1981,0.032,340.12,0.0472,-0.0152
Barents,1982,0.151,341.4783,0.0464,0.1046
